[,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ir,red
71117,756,3384,15028,-174,134,-56,182481,90948
71257,832,3356,15016,-161,70,-132,182609,91002
71397,844,3444,15088,-179,129,-72,182595,91118
71537,900,3452,15128,-175,71,-88,182691,91149
71677,696,3432,14992,-194,81,-47,182483,91057
71817,792,3348,15000,-184,48,-35,182524,91009
71959,764,3416,15176,-135,-26,-40,182675,91089
72099,896,3336,15048,-142,58,-24,182728,91095
72239,696,3408,15096,-133,128,-41,182676,91192
72379,880,3364,14992,-120,-19,-80,182561,91060
72519,968,3500,15016,-207,52,-130,182556,91091
72661,808,3512,15000,-207,103,-126,182713,91069
72801,872,3424,14952,-236,162,-109,182737,91102
72941,860,3392,15096,-238,-9,-92,182606,91158
73081,808,3400,15036,-203,130,-71,182622,91161
73221,896,3420,15052,-200,97,-82,182639,91115
73361,836,3376,15048,-178,22,-99,182752,91102
73503,936,3400,15164,-167,66,-71,182943,91158
73643,836,3448,14988,-183,119,-56,182654,91127
73783,860,3388,14956,-181,84,-46,182642,91219
73923,836,3396,15060,-218,141,-79,182778,91126
74063,864,3420,15000,-182,71,-106,182801,91179
74205,820,3324,14944,-165,189,-107,182928,91124
74345,756,3388,15060,-204,54,-84,182713,91160
74485,744,3352,15012,-181,65,-109,182705,91260
74625,848,3312,14960,-191,104,-69,182822,91241
74765,860,3384,15116,-195,145,-42,182891,91216
74905,868,3356,15040,-183,10,-123,182807,91123
75047,800,3300,15088,-172,111,-53,182847,91177
75187,776,3268,15132,-176,18,-68,182815,91227
75327,744,3476,15036,-111,83,-11,182799,91288
75467,928,3384,15020,-140,24,9,182950,91212
75607,880,3436,15012,-142,-12,-45,182741,91195
75749,880,3484,14992,-71,5,-45,182842,91181
75889,532,3652,14936,190,373,-55,182893,91250
76029,12,3032,15208,-603,359,-409,183018,91347
76169,588,3352,15128,-398,-433,65,182935,91280
76309,936,3236,15172,-534,-396,139,182687,91209
76449,996,3320,15068,-186,315,-13,182712,91139
76591,840,3300,15044,-165,626,-49,182888,91219
76731,504,3260,14928,-146,301,3,182945,91279
76871,720,3376,15116,-68,271,13,182762,91288
77011,1168,3848,15692,-1930,3792,532,182733,91244
